lon_25_75,lat_25_75,ID_HDC_G0,GCPNT_LAT,GCPNT_LON,XC_NM_LST,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_MN,UC_NM_LST,P15,urban_center_count
115.25,23.25,12393,23.05905589,115.3940645,China,CHN,Asia,Eastern Asia,Gongping,Gongping,59543.55832999999,1
115.25,24.75,12248,24.77670827,115.0190458,China,CHN,Asia,Eastern Asia,Lishi,Lishi,86369.31982,1
115.75,38.25,10850,38.2313977,115.5217239,China,CHN,Asia,Eastern Asia,Anping,Anping,78197.23962000001,3
115.75,38.25,10821,38.48540636,115.5600848,China,CHN,Asia,Eastern Asia,Li,Li; Boye,70924.00801,3
115.75,38.25,10887,38.00756302,115.5308658,China,CHN,Asia,Eastern Asia,Shengzhou,Shengzhou,66866.62514,3
117.25,36.25,11317,36.17870771,117.1622818,China,CHN,Asia,Eastern Asia,Tai'an,Tai'an; 泰山区,709078.0696,1
118.25,24.75,12530,24.56953434,118.0671108,China,CHN,Asia,Eastern Asia,Xiamen,Xiamen; Tong'an; Siming; Haicang; Huli; Jimei,4088516.509,4
118.25,24.75,12556,24.65304488,118.24529979999998,China,CHN,Asia,Eastern Asia,Xiang'an,Xiang'an,220958.0406,4
118.25,24.75,12549,24.99752233,118.3718894,China,CHN,Asia,Eastern Asia,Nan'an,Nan'an,118623.0501,4
118.25,24.75,12564,24.8949235,118.3973393,China,CHN,Asia,Eastern Asia,,-,53317.57642,4
118.75,27.75,12408,27.92418242,118.5371008,China,CHN,Asia,Eastern Asia,Pucheng,Pucheng,53370.28247,1
118.75,32.25,12072,32.01271314,118.8093005,China,CHN,Asia,Eastern Asia,Nanjing,Nanjing; Jiangning; 秦淮区; 雨花台区; 玄武区; 建邺区; 鼓楼区; 栖霞区,5385671.749,3
118.75,32.25,12056,32.10571181,118.6730126,China,CHN,Asia,Eastern Asia,Pukou,Pukou,519777.6601,3
118.75,32.25,12055,32.27407293,118.780492,China,CHN,Asia,Eastern Asia,Luhe,Luhe,479864.0014,3
119.25,-3.25,12868,-3.404872047,119.3084877,Indonesia,IDN,Asia,South-Eastern Asia,Takatidung,Takatidung; Pekkabata; Manding; Anreapi; Madatte; Patampanua; Pasiang,92870.47852,3
119.25,-3.25,12871,-3.4332718260000004,119.344357,Indonesia,IDN,Asia,South-Eastern Asia,Polewali,Polewali,91083.20984,3
119.25,-3.25,12862,-3.405468385,119.2138514,Indonesia,IDN,Asia,South-Eastern Asia,Sidorejo,Sidorejo; Bumiayu; Lampa'; Bumi Mulyo; Campurjo; Galeso; Sidodadi; Kebunsari; Botto,70298.20385,3
119.25,31.25,12234,31.43324411,119.4668274,China,CHN,Asia,Eastern Asia,Liyang,Liyang,258046.4113,1
119.25,35.25,11764,35.41108471,119.4991147,China,CHN,Asia,Eastern Asia,Rizhao,Rizhao; 东港区,549262.8329,2
119.25,35.25,11789,35.10915127,119.3327244,China,CHN,Asia,Eastern Asia,岚山区,岚山区,66285.92245,2
119.75,28.25,12495,28.45849342,119.92549840000002,China,CHN,Asia,Eastern Asia,Lishui,Lishui; 莲都区,266877.0889,2
119.75,28.25,12487,28.10177191,119.5554041,China,CHN,Asia,Eastern Asia,Yunhe,Yunhe,68244.87994,2
119.75,36.25,11671,36.36472604,119.7567594,China,CHN,Asia,Eastern Asia,Gaomi,Gaomi,302224.2424,1
120.75,16.25,12783,16.42486308,120.595237,Philippines,PHL,Asia,South-Eastern Asia,Baguio,Baguio,451843.818,1
120.75,40.75,11179,40.75185347,120.8500422,China,CHN,Asia,Eastern Asia,Huludao,Huludao; Longgang; Lianshan,514586.3482,2
120.75,40.75,11190,40.61717979,120.73004009999998,China,CHN,Asia,Eastern Asia,Xingcheng,Xingcheng,143236.8468,2
