lon,lat,k1_thresh,k1_num_excedences,k2_thresh,k2_num_excedences,k3_thresh,k3_num_excedences,k4_thresh,k4_num_excedences,k5_thresh,k5_num_excedences,k6_thresh,k6_num_excedences
42.75,-0.25,305.95874,185,305.6416930000001,450,304.48703,3433,304.973175,1717,305.737213,343,305.165894,1226
43.25,-11.75,302.3530580000001,185,302.015411,450,300.941772,3433,301.394562,1717,302.122955,343,301.5626220000001,1226
43.25,35.75,316.902496,185,315.558075,450,311.290253,3433,313.052368,1717,316.013824,343,313.778381,1226
43.25,39.25,302.75824,185,301.231842,450,295.877197,3433,298.306549,1717,301.649384,343,299.195587,1226
43.75,26.25,316.366058,185,315.619019,450,312.684601,3433,314.0737,1717,315.88089,343,314.551788,1226
43.75,43.75,306.641479,185,304.955719,450,298.61853,3433,301.044586,1717,305.526154,343,302.1475220000001,1226
44.25,46.25,307.435059,185,305.812958,450,300.135712,3433,302.667084,1717,306.290497,343,303.5883790000001,1226
44.75,32.75,316.997528,185,316.044769,450,312.2529600000001,3433,313.737396,1717,316.353333,343,314.366852,1226
45.75,37.25,307.5309450000001,185,306.38736,450,302.078003,3433,303.979218,1717,306.773315,343,304.731537,1226
46.75,30.75,317.052948,185,316.153168,450,313.00824,3433,314.385529,1717,316.470581,343,314.8798220000001,1226
47.25,-19.75,298.888641,185,297.93576,450,295.228363,3433,296.09082,1717,298.25531,343,296.557739,1226
47.25,17.25,310.881866,185,310.40274,450,308.0327450000001,3433,309.226929,1717,310.562592,343,309.6450200000001,1226
47.75,29.25,318.1237490000001,185,317.234009,450,314.339142,3433,315.5626220000001,1717,317.505585,343,316.0122990000001,1226
47.75,30.25,318.423828,185,317.179749,450,313.7180180000001,3433,315.006927,1717,317.546783,343,315.592102,1226
48.25,29.25,317.242126,185,316.413788,450,313.613861,3433,314.7738950000001,1717,316.640198,343,315.213898,1226
48.75,37.75,303.445282,185,302.273651,450,297.526794,3433,299.599457,1717,302.714844,343,300.357361,1226
48.75,38.25,307.143829,185,305.962128,450,301.3199160000001,3433,303.339142,1717,306.385651,343,304.082214,1226
48.75,39.25,310.10788,185,309.030029,450,304.258636,3433,306.3379520000001,1717,309.334351,343,307.188385,1226
49.25,55.75,303.970459,185,301.986267,450,295.4994200000001,3433,297.988617,1717,302.72229,343,299.0454410000001,1226
50.25,35.25,308.85495,185,307.76709,450,303.134857,3433,305.103973,1717,308.126801,343,305.938416,1226
51.25,33.75,307.278198,185,306.254913,450,302.441528,3433,304.155701,1717,306.570526,343,304.7655640000001,1226
51.25,51.25,305.8757930000001,185,304.348541,450,298.234467,3433,300.874573,1717,304.806946,343,301.858276,1226
53.75,28.75,312.298615,185,311.523712,450,308.427856,3433,309.7951970000001,1717,311.7750240000001,343,310.292114,1226
59.25,36.25,305.85083,185,304.581635,450,300.52121,3433,302.26297,1717,305.026978,343,302.905182,1226
59.75,55.25,301.222443,185,299.332214,450,292.773743,3433,295.412903,1717,299.984283,343,296.545959,1226
